Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
4.27647E-07	5.26586E-08	3.75E-07	8.90E-01	R0 + R1 <=> R2
4.27647E-07	0.000437817	-4.37E-04	9.76E-04	R1 + R1 <=> R3
0.000653947	0.000653947	0.00E+00	5.00E-01	R1 <=> R1
4.27647E-07	1.25992E-07	3.02E-07	7.72E-01	R0 + R2 <=> R4
4.27647E-07	4.45034E-09	4.23E-07	9.90E-01	R0 + R3 <=> R5
4.27647E-07	3.70012E-05	-3.66E-05	1.14E-02	R1 + R2 <=> R5
4.27647E-07	0.003545763	-3.55E-03	1.21E-04	R2 + R1 <=> R6
4.27647E-07	0.001158053	-1.16E-03	3.69E-04	R1 + R3 <=> R7
4.27647E-07	0.000324641	-3.24E-04	1.32E-03	R3 + R1 <=> R8
4.27647E-07	3.65044E-07	6.26E-08	5.39E-01	R2 + R2 <=> R9
4.27647E-07	0.00030692	-3.06E-04	1.39E-03	R2 + R3 <=> R10
4.27647E-07	5.64652E-07	-1.37E-07	4.31E-01	R3 + R2 <=> R11
4.27647E-07	6.85562E-06	-6.43E-06	5.87E-02	R3 + R3 <=> R12
0.000653947	4.49849E-07	6.53E-04	9.99E-01	R2 <=> R13
0.000653947	3.65664E-06	6.50E-04	9.94E-01	R3 <=> R14
4.27647E-07	5.42129E-12	4.28E-07	1.00E+00	R0 + R6 <=> R9
4.27647E-07	9.15895E-11	4.28E-07	1.00E+00	R0 + R8 <=> R11
4.27647E-07	7.96735E-08	3.48E-07	8.43E-01	R0 + R13 <=> R14
4.27647E-07	1.60491E-07	2.67E-07	7.27E-01	R0 + R14 <=> R15
4.27647E-07	1.37775E-08	4.14E-07	9.69E-01	R0 + R14 <=> R16
4.27647E-07	8.52519E-05	-8.48E-05	4.99E-03	R4 + R1 <=> R17
4.27647E-07	5.32771E-06	-4.90E-06	7.43E-02	R5 + R1 <=> R18
4.27647E-07	3.78972E-05	-3.75E-05	1.12E-02	R1 + R6 <=> R10
4.27647E-07	4.91398E-07	-6.38E-08	4.65E-01	R6 + R1 <=> R19
4.27647E-07	3.94325E-06	-3.52E-06	9.78E-02	R7 + R1 <=> R20
4.27647E-07	9.2456E-06	-8.82E-06	4.42E-02	R1 + R8 <=> R12
4.27647E-07	4.54843E-07	-2.72E-08	4.85E-01	R8 + R1 <=> R21
4.27647E-07	0.037465195	-3.75E-02	1.14E-05	R9 + R1 <=> R22
4.27647E-07	0.022172977	-2.22E-02	1.93E-05	R10 + R1 <=> R23
4.27647E-07	0.063071441	-6.31E-02	6.78E-06	R11 + R1 <=> R24
4.27647E-07	0.007766345	-7.77E-03	5.51E-05	R12 + R1 <=> R25
4.27647E-07	0.000620528	-6.20E-04	6.89E-04	R1 + R13 <=> R26
4.27647E-07	0.284230067	-2.84E-01	1.50E-06	R13 + R1 <=> R27
4.27647E-07	8.43157E-05	-8.39E-05	5.05E-03	R1 + R14 <=> R28
4.27647E-07	7.51644E-06	-7.09E-06	5.38E-02	R1 + R14 <=> R29
4.27647E-07	0.005876526	-5.88E-03	7.28E-05	R14 + R1 <=> R30
