Species_name	Phase	C	H	O
R0	Liquid	1	2	1
R1	Liquid	2	4	2
R2	Liquid	3	6	3
R3	Liquid	4	8	4
R4	Liquid	4	8	4
R5	Liquid	5	10	5
R6	Liquid	5	10	5
R7	Liquid	6	12	6
R8	Liquid	6	12	6
R9	Liquid	6	12	6
R10	Liquid	7	14	7
R11	Liquid	7	14	7
R12	Liquid	8	16	8
R13	Liquid	3	6	3
R14	Liquid	4	8	4
R15	Liquid	5	10	5
R16	Liquid	5	10	5
R17	Liquid	6	12	6
R18	Liquid	7	14	7
R19	Liquid	7	14	7
R20	Liquid	8	16	8
R21	Liquid	8	16	8
R22	Liquid	8	16	8
R23	Liquid	9	18	9
R24	Liquid	9	18	9
R25	Liquid	10	20	10
R26	Liquid	5	10	5
R27	Liquid	5	10	5
R28	Liquid	6	12	6
R29	Liquid	6	12	6
R30	Liquid	6	12	6
R31	Liquid	7	14	7
R32	Liquid	8	16	8
R33	Liquid	8	16	8
R34	Liquid	8	16	8
R35	Liquid	9	18	9
R36	Liquid	9	18	9
R37	Liquid	9	18	9
R38	Liquid	9	18	9
R39	Liquid	10	20	10
R40	Liquid	10	20	10
R41	Liquid	6	12	6
R42	Liquid	6	12	6
R43	Liquid	7	14	7
R44	Liquid	7	14	7
R45	Liquid	7	14	7
R46	Liquid	8	16	8
R47	Liquid	9	18	9
R48	Liquid	9	18	9
R49	Liquid	10	20	10
R50	Liquid	10	20	10
R51	Liquid	10	20	10
R52	Liquid	10	20	10
R53	Liquid	7	14	7
R54	Liquid	7	14	7
R55	Liquid	8	16	8
R56	Liquid	8	16	8
R57	Liquid	8	16	8
R58	Liquid	9	18	9
R59	Liquid	10	20	10
R60	Liquid	7	14	7
R61	Liquid	8	16	8
R62	Liquid	8	16	8
R63	Liquid	10	20	10
R64	Liquid	8	16	8
R65	Liquid	9	18	9
R66	Liquid	9	18	9
R67	Liquid	10	20	10
R68	Liquid	8	16	8
R69	Liquid	8	16	8
R70	Liquid	9	18	9
