Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
0.034187491	2.09946E-14	3.42E-02	1.00E+00	R0 + R1 <=> R2
0.034187491	6.29056E-07	3.42E-02	1.00E+00	R1 + R1 <=> R3
0.002718114	0.002718114	0.00E+00	5.00E-01	R1 <=> R1
0.034187491	1.89286E-14	3.42E-02	1.00E+00	R0 + R2 <=> R4
0.034187491	2.52638E-15	3.42E-02	1.00E+00	R0 + R3 <=> R5
0.034187491	7.56974E-08	3.42E-02	1.00E+00	R1 + R2 <=> R5
0.034187491	8.46356E-09	3.42E-02	1.00E+00	R2 + R1 <=> R6
0.034187491	1.6548E-08	3.42E-02	1.00E+00	R1 + R3 <=> R7
0.034187491	1.19478E-09	3.42E-02	1.00E+00	R3 + R1 <=> R8
0.034187491	4.49445E-09	3.42E-02	1.00E+00	R2 + R2 <=> R9
0.034187491	7.22455E-10	3.42E-02	1.00E+00	R2 + R3 <=> R10
0.034187491	1.92234E-10	3.42E-02	1.00E+00	R3 + R2 <=> R11
0.034187491	3.18042E-13	3.42E-02	1.00E+00	R3 + R3 <=> R12
0.002718114	1.57655E-06	2.72E-03	9.99E-01	R2 <=> R13
0.002718114	7.5834E-09	2.72E-03	1.00E+00	R3 <=> R14
0.034187491	1.11489E-14	3.42E-02	1.00E+00	R0 + R6 <=> R9
0.034187491	3.37793E-15	3.42E-02	1.00E+00	R0 + R8 <=> R11
0.034187491	4.35288E-15	3.42E-02	1.00E+00	R0 + R13 <=> R14
0.034187491	1.65869E-14	3.42E-02	1.00E+00	R0 + R14 <=> R15
0.034187491	3.91293E-13	3.42E-02	1.00E+00	R0 + R14 <=> R16
0.034187491	1.33702E-09	3.42E-02	1.00E+00	R4 + R1 <=> R17
0.034187491	1.07849E-11	3.42E-02	1.00E+00	R5 + R1 <=> R18
0.034187491	5.36966E-08	3.42E-02	1.00E+00	R1 + R6 <=> R10
0.034187491	6.4549E-06	3.42E-02	1.00E+00	R6 + R1 <=> R19
0.034187491	0.001158996	3.30E-02	9.67E-01	R7 + R1 <=> R20
0.034187491	1.67451E-10	3.42E-02	1.00E+00	R1 + R8 <=> R12
0.034187491	1.19107E-12	3.42E-02	1.00E+00	R8 + R1 <=> R21
0.034187491	2.80614E-07	3.42E-02	1.00E+00	R9 + R1 <=> R22
0.034187491	1.15941E-05	3.42E-02	1.00E+00	R10 + R1 <=> R23
0.034187491	4.53562E-13	3.42E-02	1.00E+00	R11 + R1 <=> R24
0.034187491	8.54635E-05	3.41E-02	9.98E-01	R12 + R1 <=> R25
