Species_name	Phase	O	H	C
R0	Gas	1	2	1
R1	Gas	2	4	2
R2	Gas	3	6	3
R3	Gas	4	8	4
R4	Gas	4	8	4
R5	Gas	5	10	5
R6	Gas	5	10	5
R7	Gas	6	12	6
R8	Gas	6	12	6
R9	Gas	6	12	6
R10	Gas	7	14	7
R11	Gas	7	14	7
R12	Gas	8	16	8
R13	Gas	3	6	3
R14	Gas	4	8	4
R15	Gas	5	10	5
R16	Gas	5	10	5
R17	Gas	6	12	6
R18	Gas	7	14	7
R19	Gas	7	14	7
R20	Gas	8	16	8
R21	Gas	8	16	8
R22	Gas	8	16	8
R23	Gas	9	18	9
R24	Gas	9	18	9
R25	Gas	10	20	10
R26	Gas	5	10	5
R27	Gas	5	10	5
R28	Gas	6	12	6
R29	Gas	6	12	6
R30	Gas	6	12	6
R31	Gas	7	14	7
R32	Gas	8	16	8
R33	Gas	8	16	8
R34	Gas	8	16	8
R35	Gas	9	18	9
R36	Gas	9	18	9
R37	Gas	9	18	9
R38	Gas	9	18	9
R39	Gas	10	20	10
R40	Gas	10	20	10
R41	Gas	6	12	6
R42	Gas	6	12	6
R43	Gas	7	14	7
R44	Gas	7	14	7
R45	Gas	7	14	7
R46	Gas	8	16	8
R47	Gas	9	18	9
R48	Gas	9	18	9
R49	Gas	10	20	10
R50	Gas	10	20	10
R51	Gas	10	20	10
R52	Gas	10	20	10
R53	Gas	7	14	7
R54	Gas	7	14	7
R55	Gas	8	16	8
R56	Gas	8	16	8
R57	Gas	8	16	8
R58	Gas	9	18	9
R59	Gas	10	20	10
R60	Gas	7	14	7
R61	Gas	8	16	8
R62	Gas	8	16	8
R63	Gas	10	20	10
R64	Gas	8	16	8
R65	Gas	9	18	9
R66	Gas	9	18	9
R67	Gas	10	20	10
R68	Gas	8	16	8
R69	Gas	8	16	8
R70	Gas	9	18	9
R71	Gas	9	18	9
R72	Gas	9	18	9
R73	Gas	9	18	9
R74	Gas	10	20	10
R75	Gas	10	20	10
R76	Gas	9	18	9
R77	Gas	9	18	9
R78	Gas	10	20	10
